© 2000-2018 QIAGEN. All rights reserved.

Upstream Regulator	Expr Fold Change	Molecule Type	Predicted Activation State	Activation z-score	Flags	p-value of overlap	Target molecules in dataset	Mechanistic Network	
NLRP3	-13.467	other	 	-0.242	 	4.87E-02	CD69,CDH1,IFNG,IL18,MMP9,RFC3,TNF	 	
ERG	 	transcription regulator	 	-0.718	bias	9.74E-04	ACTN1,ARHGAP22,ARHGAP28,CDC42BPB,CDH1,COL11A2,CXCR4,FOSB,GUCY1A3,HPGD,KLK3,MAGI1,MMP9,NFIL3,NR4A2,PARVA,PSTPIP2,SNCA,TGFB1I1	217 (12)	
TGFB1	1.286	growth factor	 	0.959	 	1.41E-05	2610318N02Rik,ABCG2,ACTG2,ACTN1,ACVR1,AHR,AMD1,ANPEP,BHLHE40,C3,CALCB,CCDC28A,CCR3,CD40,CD69,CD80,CDH1,CDKN2A,CEACAM1,Ces2c,CHST3,CIITA,CSRP2,CTLA4,CXCR4,CYP17A1,DSG2,DSP,DTX4,DUSP1,EEF1A1,EGR1,EGR3,ESM1,F5,FCGR3A/FCGR3B,FOS,FOSB,FOSL2,FSCN1,GADD45B,GATM,GIN1,GNAO1,GPR146,GPR83,GRHL1,HEBP1,HEXIM1,HPGD,HSP90AA1,HSPA1A/HSPA1B,HSPA5,ID3,IFNG,IL15,IL18,IL4R,IRAK3,IRS1,ITGA3,JAG1,JUNB,KDM6B,KLF4,KLK3,LCAT,LIPT1,LSR,MMP9,MYBL2,NAMPT,NEU3,NR1H3,NR4A1,NR4A2,NR4A3,NUCB2,PILRA,PLA2G4A,PLCL1,PLK2,PMEPA1,PPARG,PPFIBP2,PRDX4,PRKCG,PTK2,RAD51AP1,RASGRP3,RNF152,S1PR3,SCD,SELENBP1,SERPINF1,SKIL,SLC25A14,SOCS3,SRSF2,TENM4,TFPI,TGFB1I1,TGIF1,TIMP2,TJP1,TNF,TNFAIP3,TNFSF13B,TRIM2,VCAN,VEGFA,VIPR1,ZFP36L2,ZNF365	320 (19)	
TEK	 	kinase	 	 	 	5.52E-03	IFNG,TJP1,TNF,VEGFA	224 (19)	
SMAD3	1.947	transcription regulator	 	1.343	bias	1.55E-03	C3,CD79A,CDH1,CDKN2A,CIITA,COL10A1,EGR1,ESR1,FOS,GADD45B,ID3,IFNG,IL15,JAG1,JUNB,KLK3,MMP9,PMEPA1,SKIL,TNF,VEGFA	276 (20)	
ZFP36L1	4.835	transcription regulator	 	 	 	4.38E-02	TNF	 	
PRMT2	-1.375	enzyme	 	 	 	1.09E-02	CDH1,TNF	 	
F2	 	peptidase	 	0.837	bias	8.75E-05	CKAP4,CXCR4,DUSP1,EGR1,ESM1,F2RL3,FOS,FOSB,FOSL2,HSP90AA1,IGF1R,JUNB,KIF13A,KLF6,MFHAS1,MMP9,MYBL2,NR4A3,PLA2G4A,RDH5,SAMD4A,TFPI,TIMP2,TNF,TNFAIP3,VEGFA	277 (20)	
IL18R1	1.737	transmembrane receptor	 	 	 	4.51E-02	IFNG,TNF	 	
INSR	2.580	kinase	 	0.357	bias	2.55E-02	ATF3,CORO2B,COX6A2,CXCR4,DUSP1,EGR1,FOS,GCH1,IFNG,IGF1R,IRS1,JUNB,Meg3,MMP9,MT-CO1,MYBL2,NAMPT,NR1H3,RAD51AP1,SC5D,SCD,SFMBT2,SKAP2,SOCS3,TGIF1,TNF	 	
Zfp55	 	other	 	 	 	4.38E-02	PPARG	 	
ARRB1	3.053	transporter	 	 	 	2.88E-02	ABCG2,EGR1,JUNB,TNF	 	
COMMD1	3.871	transporter	 	 	 	1.93E-02	BNIP3,GRHPR,IFNG,VEGFA	 	
GNRH1	 	other	 	1.827	bias	1.19E-02	CREM,CYP17A1,EGR1,FOS,FOSB,JUNB,RPSA	 	
DDIT3	2.777	transcription regulator	 	0.081	bias	4.04E-03	ATF3,ATF5,HSPA5,IFNG,MLF1,PPARG,PPP1R15A,TENM4	227 (16)	
NR4A1	213.239	ligand-dependent nuclear receptor	 	0.240	 	6.53E-04	ATF3,CYP17A1,EHF,GSTM5,MMP9,NR4A2,NR4A3,NUCB2,PFKM,PGAM2,PHKA1,PPARG,PTK2,RAP1GAP2,RARB,SCD,TJP1,TNF	230 (19)	
PINK1	1.733	kinase	 	 	 	1.76E-02	BNIP3,VEGFA	 	
LY9	1.072	other	 	 	 	7.99E-03	CD19,CD81,CR2	 	
SART3	1.434	other	 	 	 	4.38E-02	KLK3	 	
ADA	-72.084	enzyme	 	-0.187	bias	3.25E-02	ADA,MMP9,TNF,VEGFA	 	
SMARCB1	1.688	transcription regulator	 	-0.570	bias	7.54E-03	AMPH,BNIP3,CDH1,CDKN2A,CEACAM1,CXCR4,DSG2,ERBB2,ETS2,FOS,MYBL2,OAS1,PLCL1,PPARG,RAD51AP1	237 (13)	
SFN	2.100	other	 	 	 	6.78E-03	CDH1,DSG2,DSP,ERBB2,TJP1	267 (11)	
ARNT2	-3.713	transcription regulator	 	-1.739	bias	9.41E-03	ALAS2,CHRM4,CHRNE,DNASE1,EGR1,FHIT,GALNT4,HLA-A,KLK3,LCAT,MYCL,SELENBP1,SNN,TNF,TSSK2,VEGFA,ZFP36L1	 	
FGF19	 	growth factor	 	1.000	 	1.20E-02	CYP17A1,EGR1,FABP3,FOS,KL,MCAM,RGS2,SCD,SLPI	 	
GNA13	2.506	enzyme	 	 	 	2.57E-02	EGR1,FOS,VEGFA	 	
WWOX	-1.814	enzyme	 	0.765	 	1.16E-04	ESR1,ITGA3,MMP9,TIMP2,TRIM2,VEGFA	189 (11)	
GNB1	2.036	enzyme	 	 	 	4.96E-06	AHR,CD80,CREM,DUSP1,FOSB,FOSL2,IL1R2,NR4A1,NR4A2,PLK2	173 (14)	
NFKB2	1.821	transcription regulator	 	0.152	bias	3.33E-02	CR2,CXCR4,FOS,HLA-DMB,KLK3,MMP9,TNF	 	
RFC1	-1.089	transcription regulator	 	 	 	2.56E-02	PPARG,VIPR1	 	
ETS1	1.514	transcription regulator	 	-1.237	bias	8.64E-05	ANPEP,BCL11A,CCR8,CD69,CD79A,CDKN2A,EGR1,ERBB2,ETS2,HPGD,HSPA1A/HSPA1B,HSPA8,IFNG,ITGA2B,ITK,JUNB,Klra7 (includes others),KLRG1,MMP9,NFIL3,SLAMF6,TNF,VEGFA	252 (19)	
TBP	1.517	transcription regulator	 	 	 	2.50E-03	ALAS2,CD80,ETS2,FOS,HLA-A,IGF1R,PPARG,TNF,TNFAIP3	190 (7)	
TAS1R2	 	g-protein coupled receptor	 	 	 	4.38E-02	RARB	 	
KIR2DL4	 	transmembrane receptor	 	 	 	1.09E-02	CD69,IFNG	 	
Defb2	 	other	 	 	 	5.59E-03	Cd24a,CD40	 	
NFATC1	1.563	transcription regulator	 	1.413	bias	1.59E-02	AHR,CD40,COL10A1,EGR3,IFNG,POU2AF1,PPARG,SLAMF6,TNF	 	
IKZF1	-1.151	transcription regulator	 	-0.181	bias	2.79E-03	ALAS2,BLNK,CD8A,EBF1,GP1BA,IFNG,ITGA2B,LILRB3,NFIX,PAX5,PRNP,SLPI,Sult1a1,VIPR1	 	
MAD2L2	3.399	enzyme	 	 	 	3.48E-02	CDH1,EGR1	 	
ALDH1L1	 	enzyme	 	 	 	4.38E-02	CERS6	 	
MED21	3.897	transcription regulator	 	 	 	4.38E-02	TNFAIP3	 	
KDELR1	-3.241	transporter	 	 	 	4.38E-02	HSPA5	 	
HNRNPA0	-1.204	other	 	 	 	4.38E-02	TNF	 	
KRT5	 	other	 	 	 	5.59E-03	SERPINF1,VEGFA	 	
H2-K2/H2-Q9	 	other	 	 	 	4.38E-02	IFNG	 	
PAEP	 	other	 	 	 	4.19E-02	CD274,IFNG,VEGFA	 	
C5AR1	 	g-protein coupled receptor	 	-0.427	bias	1.43E-02	C3,CD40,CD80,HSPA5,IFNG,MMP9,TNF	 	
NOX1	 	ion channel	 	 	 	4.19E-02	MMP9,TNF,VEGFA	 	
DMTF1	2.391	transcription regulator	 	 	 	3.48E-02	ANPEP,CDKN2A	 	
CYP27B1	 	enzyme	 	0.640	 	2.80E-03	CCR3,CCR8,CTLA4,IFNG,IL15,IL18	125 (7)	
EIF2AK4	2.570	kinase	 	-0.365	bias	7.91E-03	ATF3,EGR1,PPARG,PPP1R15A,TNF	128 (10)	
F2RL3	-84.771	g-protein coupled receptor	 	 	 	3.25E-04	EGR1,FOS,TNF	213 (14)	
CLU	13.129	other	 	0.000	 	9.15E-03	CDH1,CDKN2A,HSPA5,MMP9,TNF	276 (22)	
FABP5	1.507	transporter	 	0.737	 	6.37E-04	FABP3,ISG20,PPARG,SOCS3,VEGFA	219 (15)	
FOXC2	 	transcription regulator	 	-0.240	bias	4.65E-03	CDH1,CXCR4,IRS1,IRS2,LIPE,MMP9,PPARG	226 (16)	
HLA-E	2.414	transmembrane receptor	 	 	 	1.09E-02	IFNG,TNF	 	
KLB	 	enzyme	 	 	 	3.48E-02	EGR1,FOS	 	
ACOD1	 	enzyme	 	 	 	1.09E-02	TNF,TNFAIP3	 	
ITGAE	3.262	other	 	 	 	1.92E-03	IFNG,TNF	120 (7)	
MC1R	 	g-protein coupled receptor	 	0.762	bias	3.87E-04	NR4A1,NR4A2,NR4A3,TNF	223 (13)	
MYB	-1.021	transcription regulator	 	-1.915	bias	9.96E-03	ANPEP,BANK1,CARNS1,CBX4,CDH1,COX6A2,CXCR4,HSPA5,HSPA8,IGF1R,KLF4,MZB1	247 (18)	
KAT2B	1.711	transcription regulator	 	 	 	9.49E-03	CD80,HBB,HSPA5,NR1H3,RARB,TNF	292 (21)	
PHB	-1.177	transcription regulator	 	 	 	2.13E-02	IFNG,KLK3,TNF	 	
PLA2G2A	 	enzyme	 	 	 	3.48E-02	CD69,PLA2G4A	 	
SNAI2	 	transcription regulator	 	0.508	 	3.52E-02	CDH1,CXCR4,DSP,HPGD,ITGA3,MMP9	 	
SOX3	 	transcription regulator	 	0.000	bias	2.07E-02	ACVR1,CHST15,DSP,DUSP1,DUSP5,IRS1,TEAD2,VEGFA	 	
ETS2	9.493	transcription regulator	 	-0.623	bias	2.59E-05	ANPEP,CD79A,CDKN2A,CHRNE,ERBB2,FOS,HPGD,ITGA2B,JUNB,MMP9,Tlr13,TNF	211 (19)	
TAL1	 	transcription regulator	 	-0.394	 	1.14E-04	BHMT2,C3,CD69,CDH23,CDKN2A,DSCC1,DSG2,ELOVL4,FCRL1,GUCY1A3,HBB,HLA-A,HLA-F,KIF20A,LMO1,LRRN3,MCTP1,MELK,NFKBIZ,NR4A3,RNASE6,TNFAIP3,TNFSF4	133 (7)	
THBS1	35.233	other	 	-0.899	 	6.78E-03	CD69,EGR1,MMP9,TNF,VEGFA	205 (19)	
TLR1	1.842	transmembrane receptor	 	1.067	bias	8.38E-03	IFNG,IL15,TNF,TNFAIP3	163 (13)	
Tnfsf9	-1.619	other	 	 	 	4.51E-02	IFNG,TNF	 	
VIPR1	-18.881	g-protein coupled receptor	 	 	 	3.07E-02	CD40,CD80,TNF	 	
ZBTB7B	-1.842	transcription regulator	 	 	 	1.20E-02	AHR,CD8A,IFNG,KLF4,TNF	 	
SASH1	2.766	other	 	-0.302	bias	2.49E-04	CD40,HELZ2,HHEX,IFIT1B,IL15,IL18,ISG20,MARCO,NFKBIZ,SLFN12L,TNF	 	
SIRT1	3.706	transcription regulator	 	-0.786	bias	1.47E-02	BNIP3,CDH1,CDKN2A,CELA1,COL10A1,ESR1,EVPL,FCMR,GBP6,HELZ2,HLA-A,IFIT1B,IFNG,IGF1R,JCHAIN,MMP9,MT-CO1,NAT1,OAS1,PER1,RTP4,SLC7A11,TFPI,TNF,ZNF296	 	
EPGN	 	growth factor	 	 	 	4.38E-02	FOS	 	
MAPK3	5.181	kinase	 	1.091	bias	9.08E-04	CD69,EGR1,ESR1,FOS,FOSB,IFNG,JUNB,MMP9,PLA2G4A,TNF	255 (23)	
BRD7	-1.171	transcription regulator	 	 	 	2.57E-02	ESR1,PIDD1,VCAN	 	
NLRC5	2.220	transcription regulator	 	0.447	bias	1.21E-02	CD40,HLA-A,HLA-F,TNF	 	
UBE2J1	2.374	enzyme	 	 	 	4.38E-02	TNF	 	
ICOS	8.775	transmembrane receptor	 	1.948	bias	1.46E-02	CCR3,CCR8,CTLA4,CXCR4,IFNG,TNF	 	
TAX1BP3	1.891	transcription regulator	 	 	 	4.38E-02	FOS	 	
RPS6KA5	3.045	kinase	 	0.511	bias	8.50E-04	CDKN2A,DUSP1,FOS,JUNB,TNF	241 (16)	
TLR9	-1.737	transmembrane receptor	 	1.877	bias	1.31E-04	ATF3,CD274,CD40,CD69,CD80,CERS6,DUSP1,EGR1,FCMR,GADD45B,GCH1,IFIT1B,IFNG,IL18,ISG20,NAMPT,NFKBIZ,NR4A1,RAB7B,SOCS3,STYK1,TNF,TNFSF13B	227 (13)	
ERBIN	1.208	other	 	 	 	2.56E-02	CHRNE,ERBB2	 	
PSMD4	2.028	other	 	 	 	2.56E-02	CD69,MARCO	 	
ADCYAP1R1	 	g-protein coupled receptor	 	 	 	3.48E-02	DUSP5,FOS	 	
IL18BP	-3.921	other	 	 	 	3.98E-03	IFNG,TNF,VEGFA	203 (13)	
ABCA1	5.034	transporter	 	-0.326	 	4.60E-02	ANXA1,HSPA5,NAMPT,PPARG,TNF	 	
ITGAL	1.192	transmembrane receptor	 	 	 	4.19E-02	CD69,CD80,TNF	 	
TCF12	2.437	transcription regulator	 	-0.501	bias	3.52E-02	BLNK,CDH1,CDKN2A,CELA1,NR4A3,PAX5	 	
SLC7A8	3.563	transporter	 	 	 	4.38E-02	IFNG	 	
CD48	-1.084	other	 	 	 	5.78E-03	IFNG,SERPINB9,TNF	219 (12)	
RPTOR	1.209	other	 	1.432	bias	7.91E-03	CDH1,CTLA4,IRS1,MT-CO1,TNF	267 (19)	
PRNP	-40.393	other	 	-1.031	 	4.76E-05	AHR,CDKN2A,EGR1,ETS2,HSPA1A/HSPA1B,HSPA5,HSPA8,IFNG,IGF1R,IRS1,PRNP,TLE1	262 (18)	
VCP	-1.181	enzyme	 	 	 	2.13E-02	DUSP1,HSPA5,TNFSF13B	 	
PAPOLA	-1.188	enzyme	 	 	 	1.76E-02	MT-ATP6,MT-CO1	 	
IRF3	1.306	transcription regulator	 	0.616	bias	1.10E-03	CD274,CD40,CD69,HELZ2,HLA-F,IFIT1B,IFNG,Ifnz (includes others),IL15,ISG20,JUNB,MMP9,OAS1,PLAG1,PRNP,TNF,TNFAIP3,TNFSF4,ZBP1	175 (14)	
HTT	2.438	transcription regulator	 	-1.000	 	1.88E-02	ADAM23,AMD1,ATF3,BHLHE40,Cd24a,CORO2B,COX6A2,COX6B2,DUSP5,EBF1,EEF1A1,EGR1,ENPP2,FOS,GNAO1,HBA1/HBA2,Hspa1b,HSPA5,HSPA8,IL15,JUNB,KCNB1,KL,KLF4,MCAM,MOBP,MT-CYB,NFIL3,NR4A1,NR4A2,PENK,PER1,PFKM,PPARG,PPP1R16B,PRKCG,RARB,SERPINF1,Sik1,SLC40A1,SNCA,SNN,SRSF2	 	
ICAM3	 	transmembrane receptor	 	 	 	1.92E-03	IFNG,PPARG	159 (7)	
ASGR1	 	transmembrane receptor	 	 	 	4.38E-02	MMP9	 	
PTPRH	 	phosphatase	 	 	 	4.38E-02	CD69	 	
MAPK7	-1.796	kinase	 	1.292	bias	1.96E-02	BCL2L2,DUSP1,KLF4,NR4A1,TNF,VEGFA	 	
PLK2	141.803	kinase	 	0.000	bias	2.54E-02	CD40,IL15,MARCO,RGS1	 	
IL13	 	cytokine	 	-1.050	bias	8.07E-04	ADA,ADAMDEC1,ATF3,C3,CD40,CD80,CXCR4,EGR1,ENPP2,FGD2,IFNG,IL13RA1,IL18,IL1R2,IRAK3,JAG1,JAKMIP2,KLF6,LILRB3,MMP9,PLA2G2D,PLA2G4A,PPARG,SERPINF1,SLC26A6,SLPI,SNCA,SOCS3,TIMP2,TNF,TNFSF13B	233 (16)	
UXT	-164.869	transcription regulator	 	1.701	bias	3.90E-04	CTLA4,F5,GTSE1,HPGD,KLK3,PMEPA1,TNFAIP3	106 (6)	
S1PR1	-3.394	g-protein coupled receptor	 	 	 	3.60E-02	IFNG,JUNB,TNF	 	
PRKCB	1.518	kinase	 	-0.063	bias	3.80E-02	CD40,CD80,EGR1,FOS,IRS2,MMP9	 	
YY1	1.034	transcription regulator	 	-0.034	 	5.20E-03	BLNK,CDH1,CDKN2A,CENPH,CIITA,COL10A1,CR2,CXCR4,DMPK,EGR1,ERBB2,FOS,HSPA5,ID3,IFNG,JCHAIN,KCNB1,KIF20A,NFKBIZ,PPP1R15A,RAD51AP1,VEGFA	298 (19)	
HDAC4	-1.063	transcription regulator	 	0.776	 	5.64E-03	ATF3,CALCB,CDKL5,CDKN2A,DLG2,FOS,MMP9,NR4A1,NR4A2,RGS2,TNF,VEGFA	199 (11)	
FDCSP	 	other	 	 	 	4.38E-02	CDH1	 	
HSPA5	2.794	enzyme	 	-1.000	 	1.06E-02	BCL2L2,CDH1,ESR1,HSPA5,HSPA8,SCD	 	
NFATC2	1.474	transcription regulator	 	1.619	bias	3.48E-06	CD40,CTLA4,EGR3,ENPP2,HELZ2,IFIT1B,IFNG,IL15,IL18,ISG20,NFKBIZ,NR4A1,PLK2,PPARG,RGS1,RGS2,SLAMF6,SLC3A2,SLFN12L,SOCS3,TNF	259 (17)	
RTKN	-119.684	other	 	 	 	1.76E-02	FOS,TNFAIP3	 	
LRPPRC	1.266	other	 	 	 	3.48E-02	MT-ATP6,MT-CO1	 	
PTHLH	 	other	 	1.640	bias	4.11E-03	CDKN2A,COL10A1,FOS,FOSL2,HSPA1A/HSPA1B,MMP9,RGS2,TGM1,VEGFA	232 (19)	
CFD	 	peptidase	 	 	 	4.38E-02	C3	 	
GTF2I	-1.028	transcription regulator	 	 	 	3.07E-02	DNAAF4,FOS,HSPA5	 	
CDK8	1.646	kinase	 	 	 	5.52E-03	CD80,CXCR4,MAGI1,RARB	129 (5)	
SIN3A	1.252	transcription regulator	 	 	 	4.04E-03	CDH1,ESR1,GADD45B,IFNG,KLF6,KLK3,MMP9,RARB	209 (12)	
NPC2	2.261	transporter	 	1.177	bias	3.64E-02	IL18,PLA2G4A,PPARG,TNF	 	
IFNB1	 	cytokine	 	1.458	bias	6.98E-04	Apol7e (includes others),BHLHE40,Cd24a,CD274,CD40,CD80,CDKL2,CREM,FOS,GBP6,HLA-A,IFIT1B,IFNG,ISG20,MGST2,MMP9,NFIX,OAS1,TIMP2,Tlr13,TLR8,TNF,TNFSF4,TRIM6-TRIM34,ZBP1	186 (15)	
TERF2	1.320	other	 	 	 	2.56E-02	CDKN2A,IL17C	 	
NR3C2	3.075	ligand-dependent nuclear receptor	 	0.126	 	5.08E-04	CNKSR3,EGR1,GPR83,GUCY1A3,IGF1R,JUNB,KCNJ10,MLF1,NR4A2,PLIN4,RGS2,SERP2,TNF,VEGFA	311 (21)	
DACH1	 	transcription regulator	 	-1.982	bias	2.42E-02	EGR1,FOS,KLF4,KLK3,TNFAIP3	 	
CREB3	2.511	transcription regulator	 	 	 	1.37E-02	ANXA1,HSPA5,MMP9	 	
PLAT	1.406	peptidase	 	0.952	bias	4.98E-02	FOS,IFNG,MMP9,TNF	 	
ITPR1	1.355	ion channel	 	 	 	3.60E-02	CHRNE,ERBB2,FOS	 	
PON1	 	phosphatase	 	 	 	1.73E-02	IFNG,PPARG,TNF	 	
AIM2	3.677	other	 	 	 	3.98E-03	IFNG,IL18,TNF	199 (18)	
SMURF2	1.117	enzyme	 	-1.960	bias	4.37E-03	CDH1,CDKN2A,SKIL,TGIF1	228 (15)	
SFPQ	2.914	other	 	 	 	1.81E-03	CYP17A1,DNAAF4,Ifnz (includes others),KLK3,TNFRSF8	 	
ELANE	 	peptidase	 	-0.218	bias	1.37E-02	FOS,HSPA5,MMP9,SLPI,TNF	 	
MAP3K4	2.057	kinase	 	 	 	1.52E-03	CDH1,COL10A1,IFNG	217 (15)	
HSPD1	1.259	enzyme	 	0.708	bias	3.39E-03	IFNG,IGF1R,IL15,SOCS3,TNF	201 (21)	
PRDM1	1.303	transcription regulator	 	1.403	 	4.07E-03	ADA,CD19,CD79A,CIITA,CXCR4,ESR1,F5,FOS,ID3,IFNG,IGF1R,JCHAIN,MAP7D2,MYO18B,PAX5,PLA2G4A,TNF,TNFSF13B,TTR	247 (20)	
TLR6	1.311	transmembrane receptor	 	1.227	bias	1.43E-02	ATF3,IFNG,IL15,TNF	 	
NFKB1	1.060	transcription regulator	 	-0.118	bias	2.21E-07	Abcb1b,BHLHE40,BLK,CD40,CD80,CIITA,CR2,DUSP1,EGR1,EHF,ENPP2,FCGRT,FOS,FOSB,FSCN1,GNAO1,HLA-DMB,IFIT1B,IFNG,IL17C,IL18,JAG1,MMP9,NR4A1,NR4A2,NR4A3,PLK3,RGS1,SYTL1,TNF,TNFAIP3,VEGFA	263 (16)	
GATA1	 	transcription regulator	 	-1.848	 	7.84E-05	ACTN1,ALAS2,CCR3,CDKN2A,EGR1,EXOC1,FOSB,GP1BA,HBA1/HBA2,HBB,HHEX,ITGA2B,JUNB,MGST2,NFIL3,NR4A2,PSTPIP2,RFC3,RIMBP3 (includes others),SLC3A2,SPTB,SRSF2,TGFB1I1,TUBB1	128 (7)	
TNFRSF14	1.137	transmembrane receptor	 	 	 	2.56E-02	MMP9,TNF	 	
NOS2	 	enzyme	 	0.202	 	1.79E-02	BNIP3,CD80,COX6A2,CSF3R,IFIT1B,IFNG,IRS1,IRS2,KLF6,MMP9,SLC40A1,SLFN12L,TNF,TNFSF13B,VEGFA	 	
TBL1X	1.190	transcription regulator	 	 	 	4.51E-02	KLK3,RARB	 	
mir-10	 	microrna	 	0.076	bias	1.31E-03	BCL2L2,CD40,CD80,CDH1,ERBB2,GAB2,HTATIP2,IGF1R,KLF4,TNF,VEGFA	248 (18)	
ZAP70	1.275	kinase	 	-0.059	bias	3.52E-02	ANXA1,CD69,HSP90AA1,IFNG,SCD,SEC14L1	 	
FOSB	16.281	transcription regulator	 	-1.021	bias	1.74E-02	FOS,FOSB,HPGD,MMP9,PPARG	 	
GAST	 	other	 	0.942	bias	2.32E-03	CREM,EGR1,FOS,IFNG,JAG1,MMP9,ODC1,PLA2G7,PPARG,SRSF2	253 (22)	
CXCL14	 	cytokine	 	 	 	1.76E-02	CDH1,IFNG	 	
IRAK3	-154.649	kinase	 	 	 	3.60E-02	ETS2,TNF,TNFAIP3	 	
NRIP1	3.396	transcription regulator	 	-0.589	bias	1.69E-02	CDKN2A,PPP1R3B,PYGL,RARB,SCD,TNF,TNFSF4	 	
BMP7	-11.328	growth factor	 	-0.548	bias	4.60E-02	ACVR1,CDH1,COL10A1,IGF1R,IRS1,KLF4,PENK,PPARG,SOCS3,VEGFA	 	
TCF7L2	-2.820	transcription regulator	 	-0.119	bias	2.03E-02	ANXA1,CDKN2A,DBNDD2,ENPP2,FAM91A1,ID3,IRS1,IRS2,JAG1,KIF19,MCAM,MEN1,MOBP,PPP1R14A,PPP1R16B,RTKN,SC5D,SLC44A1,SORBS3,TGIF1,TMEM141,UTP14C,VEGFA	 	
MS4A1	-1.611	other	 	 	 	3.48E-02	CD69,ZFP36L1	 	
CCR1	 	g-protein coupled receptor	 	-1.091	bias	5.78E-03	ATP6V0D2,FOS,IFNG,MMP9,TNF	255 (22)	
IFNG	11.480	cytokine	 	0.612	bias	4.45E-08	AHR,AIF1,ATF3,BCL2L2,BLNK,BUD23,C3,CAPN3,CCR3,CD200,Cd24a,CD274,CD40,CD5L,CD80,CDH1,CDKN2A,CEACAM1,CERS6,CHRNE,CHST3,CIITA,CREM,CSF2RB,CXCR4,DNAJB7,DUSP1,DUSP5,EEF1A1,EGR1,EGR3,EHF,ERBB2,ESM1,ETS2,FAH,FCGR3A/FCGR3B,FOS,FOSB,GBP6,GCH1,GNAO1,GPR146,GPR83,HAAO,HLA-A,HLA-DMB,HLA-DOB,HLA-F,HSP90AA1,HSPA1A/HSPA1B,HSPA8,IFIT1B,IFNG,IGF1R,IL15,IL18,IL4R,IRS2,ISG20,ITPKB,JAG1,JUNB,KCTD7,KLF4,KLF6,KMO,KYNU,LARGE1,LY96,MAFF,MFSD2A,MMP9,NAMPT,NFKBIZ,OAS1,ODC1,PENK,PLA2G7,PPARG,PRNP,RAP2B,RTP4,S1PR3,SERPINB9,SLC11A1,SLC40A1,SLC7A11,SLFN12L,SLPI,SOCS3,SPON1,TGIF1,TGM1,TJP1,TLR8,TNF,TNFSF13B,TSPAN33,VEGFA,VIPR1	230 (13)	
DUSP5	30.466	phosphatase	 	-0.447	bias	1.43E-03	DUSP2,EGR1,EGR3,SLPI,SRXN1	 	
MUSK	 	kinase	 	 	 	2.56E-02	CHRNE,ERBB2	 	
XCL1	4.806	cytokine	 	 	 	3.98E-03	CD40,IFNG,TNF	190 (13)	
BCL2L14	-131.027	other	 	 	 	4.38E-02	TNF	 	
CXCL16	1.832	cytokine	 	 	 	3.48E-02	IFNG,TNF	 	
TBK1	2.223	kinase	 	0.251	bias	3.34E-03	CD40,IFIT1B,IFNG,IL15,IL18,ISG20,MARCO,NFKBIZ,TNF,VEGFA	232 (15)	
IFNA2	 	cytokine	 	1.565	bias	1.55E-03	ANXA1,ATF5,BCL2L14,CD69,CDKN2A,CEACAM1,DNAJB2,HLA-A,IFNG,IFT57,ISG20,LAPTM4B,MMP9,MT-ATP6,MT-CO2,OAS1,SERPINB9,SOCS3,TNF,VEGFA,ZBP1	220 (21)	
MBD1	1.595	other	 	 	 	1.93E-02	CDH1,CDKN2A,ESR1,PTPRM	 	
FOXO3	1.936	transcription regulator	 	0.445	bias	2.14E-05	ACVR1,AHR,ANXA1,ATP6V0D2,BNIP3,CDH1,CXCR4,EGR1,ELOVL7,ESR1,FOS,FOSB,GADD45B,GSTM5,HTATIP2,IFNG,IGF1R,IRS2,JAG1,JUNB,MMP9,NAMPT,PLA2G2D,PPP1R15A,PRNP,S1PR3,SBSN,SLC40A1,TNF,UBC,VEGFA	258 (18)	
STK35	-1.523	kinase	 	 	 	4.38E-02	CDKN2A	 	
PRKD1	 	kinase	 	0.689	bias	4.06E-02	MMP9,NR4A1,TNF,TNFAIP3	 	
KAT2A	-1.544	enzyme	 	-1.067	bias	1.21E-02	BNIP3,CD19,HSPA5,NR1H3	 	
HNRNPD	1.992	transcription regulator	 	 	 	1.91E-03	CR2,FOS,HBB,TNF	 	
BCL10	1.085	transcription regulator	 	 	 	3.07E-02	IFNG,TNF,TNFAIP3	 	
FOS	15.119	transcription regulator	 	-1.258	 	5.73E-04	ATF3,BCAR3,CDH1,CYP17A1,EGR1,ESM1,FMN1,FOS,FOSB,HBA1/HBA2,HPGD,HSPA5,HTATIP2,IFNG,IRS2,JUNB,KLF6,LARGE1,LGALS4,LIN9,MMP9,NFIL3,NOTCH4,NR4A1,ODC1,PENK,PGAM2,PLA2G4A,PLK2,PMEPA1,SCD,SELENBP1,SEMA3E,SERPINB9,SLPI,SNN,SOCS3,SYT1,TNF,Uba52,VEGFA	266 (17)	
SLC5A5	 	transporter	 	 	 	4.38E-02	HBB	 	
CD40	-72.066	transmembrane receptor	 	0.349	bias	1.23E-05	ANPEP,CD40,CD69,CD80,CD8A,CR2,CTLA4,DUSP1,FOS,HSPA5,IFNG,IL13RA1,IL15,IL18,IL4R,JCHAIN,KLF4,MMP9,POU2AF1,TNF,TNFAIP3,TNFRSF25,TNFSF13B,TNFSF4,VEGFA	173 (15)	
DRD2	 	g-protein coupled receptor	 	0.927	 	5.78E-03	Abcb1b,FOS,FOSB,PENK,VEGFA	283 (19)	
MIF	2.568	cytokine	 	1.179	bias	1.29E-02	ATF5,CCR8,CXCR4,DUSP1,FOS,IFNG,IL15,IL4R,MMP9,NR1H3,TNF	 	
