© 2000-2018 QIAGEN. All rights reserved.

Upstream Regulator	Expr Fold Change	Molecule Type	Predicted Activation State	Activation z-score	p-value of overlap	Target molecules in dataset	Mechanistic Network	
cisplatin	 	chemical drug	Inhibited	-4.855	9.28E-04	Abcb1b,ACADM,ACOX1,ACTB,ADAMTS1,AIFM1,AKT1,ANGEL2,ANK1,ANKFY1,ANXA5,ASCC1,ASNS,ATF3,ATG14,BAG4,BAG5,BAX,BBS9,BCL2L11,BCL2L13,BIRC2,BRCA1,BTG2,CAPN1,CARD6,CASP1,CASP3,CAT,CC2D1A,CCNG2,CCR5,CDK5,CDKN1A,CDKN1B,CHFR,CHKA,CLCN6,CORO7/CORO7-PAM16,CTSB,CXCL3,DDIT4,DESI2,DGKA,DHRS3,DICER1,DUSP1,ECE1,EEF2K,EGR1,EI24,EMP3,ERCC1,EXOC6,FASLG,FCGR2A,FNDC3B,FOS,G6PD,GABPB2,GAS5,GATAD2B,GOT2,GSTM1,GSTP1,GTPBP4,HADHA,HDGFL3,HIST2H4A,HK2,HMGCR,HMGCS1,HMOX1,HSPA5,IER3,IFNG,IL4R,IRF2,ITCH,LDHB,LGALS3,LIPA,LRMP,LYZ,MAPK8,MBNL2,MCM3,MDM2,MIER3,MKRN1,Ms4a6b,MSH2,MYO1E,NAT10,NCF1,NF1,ODC1,OMA1,PDCD6,PDE3B,PGM1,PIK3CA,PIN1,PIP4P1,PLEKHM1,PLK2,PLK3,Pmaip1,POU2F1,PPP3R1,PSMA1,PSMB8,PTEN,Pvr,PYCR2,RAB22A,RAB6A,RAD51,REV3L,RHOBTB2,ROCK1,RPL13A,RPS16,RRM2,RRP1B,RXRA,S100A10,SCO2,Serpina3g (includes others),SESN1,SESN2,SH2D1A,SLC25A4,SLC2A1,SLC31A1,SLC6A6,SMPD1,SOCS3,SPP1,STAT3,STK17B,TERT,TFAP2A,TGFB1,TGIF1,THBS1,TIGAR,Tmsb4x (includes others),TNFAIP8,TNFRSF12A,TNFRSF1B,TNFSF10,TOP1,TRAPPC13,TUBB,UHRF1,USP3,VPS54,WDR4,XRCC6,ZNF436	1067 (14)	
DETA-NONOate	 	chemical reagent	Inhibited	-2.186	4.10E-02	ADAM10,AKT1,BIRC2,CAT,CDKN1A,CXCL3,DGKA,DUSP1,FOS,HMGCR,HMOX1,IFNG,IRF7,PDE3B,PTGS2	 	
benzyloxycarbonyl-Leu-Leu-Leu aldehyde	 	chemical - protease inhibitor	Inhibited	-5.283	1.02E-02	ACTB,AHR,AK2,AKR1B1,AKT1,ATF3,BAX,BCL2L11,CASP2,CAT,CCND2,CDK4,CDKN1A,CDKN1B,CDT1,CHUK,CLIC1,CTSB,DIABLO,DUSP1,EIF4E,EZH2,FASLG,FOS,GCH1,GSTP1,HMOX1,HSF2,HSF4,HSP90AA1,HSPA4,HSPA5,HSPA8,HSPA9,HSPD1,IER3,IFNG,IRF7,IRS2,LMAN1,MAT2A,MITF,MLH1,NCF1,NEDD8,NFE2L2,PAK2,PAX6,PIN1,PMS2,PSMC1,PSMD13,PSMD6,PTEN,PTGS2,PTPN6,RAD51,RANGAP1,RARG,RHOBTB2,RIPK1,RPS6KB1,RRM1,RXRA,SIAH1,STAT2,SUB1,TERT,TJP1,TOP1,TP53BP2,TTK,TUBB4A,VEGFA	 	
ceruletide	 	biologic drug	Inhibited	-2.214	1.45E-02	ACTG1,CCNE1,CDKN1B,CXCL3,HMOX1,HSPA5,IFNG,PTGS2,SELP	 	
doxorubicin	 	chemical drug	Inhibited	-3.206	2.37E-05	ABCA3,ABCB4,ABCB9,ABCC1,ABCF2,ADAM10,ADAMTS1,AKT1,APAF1,APEX1,ASNS,ATF3,ATG12,ATG7,ATM,AURKA,BARD1,BAX,BCAP31,BCL2L11,BCL2L2,BHLHE40,BIRC2,BRCA1,BRCA2,BTG1,BTG2,CAMK2D,CASP1,CASP3,CAT,CDKN1A,CREM,CTSB,CYBB,DDIAS,DUSP1,DUSP5,E2F2,E2F3,EEF1A1,EEF1B2,EGR1,EMP3,EXO1,FASLG,FOS,GAS5,GCLC,GLB1,GPR132,GSR,GTPBP4,HMOX1,HSPB6,IER3,IQCB1,IRF5,IRF7,ISCU,ITCH,JAK2,LGALS3,MBNL2,MCM3,MDM2,MEF2C,Ms4a6b,MVP,NDRG1,NFE2L2,PCGF3,PERP,Pmaip1,PRC1,PRDX1,PRKAA1,PSMB8,PTEN,PTGS2,PTTG1,Pvr,RAD51,RBL2,RRM1,RRM2,RRP1B,S100A10,SESN1,SIRT3,SLC19A2,SLC25A4,SLC6A6,SPP1,SSBP1,STAT3,TERF2IP,TERT,TFAP2A,TGFB1,TK1,TNFRSF12A,TNFSF10,TP53BP2,TUBB,UBE2B,UGCG,UQCRFS1,VEGFA,ZNF281	1024 (17)	
salvin	 	chemical toxicant	Inhibited	-2.414	1.64E-01	CCNE1,CDK5R1,CDKN1B,EGR1,ITGAM,RXRA	 	
thapsigargin	 	chemical toxicant	Inhibited	-6.040	4.76E-03	Abcb1b,ADIPOR2,ASNS,ATF3,ATF6,BAX,BCL6,BIRC2,CCNG2,CDKN1A,CREM,CXCL3,DDIT4,EGR1,EIF2A,ERLEC1,EVI2A,FOS,GADD45B,HERPUD1,HMGCR,HMOX1,HSPA5,HSPA9,KLF4,LMAN1,LMAN2,LONP1,MEF2C,MTHFR,NFE2L2,NFIL3,NR4A1,NR4A3,PDCD1,PPP1R15A,PPP2CA,PTPN6,RCAN1,RIPK1,SESN2,SGK1,SREBF1,SRI,STARD5,TNFSF10,WBP1	1018 (17)	
bardoxolone	 	chemical drug	Inhibited	-2.401	1.87E-02	CDKN1A,CEBPG,GCLC,GSR,HERPUD1,HMOX1,HSPA9,NQO2,TUFM,UBE2H,UGDH,UQCRFS1	 	
genistein	 	chemical drug	Inhibited	-5.293	1.93E-03	ABCB9,AGA,ALAS1,AP1B1,AP1S2,AP3S2,APEH,ASAH1,ATP6AP1,ATP6V0D1,ATP6V0D2,ATP6V1A,BAX,BMP2K,CASP3,CAT,CD68,CD74,CDKN1A,CHD5,CHST12,CTSA,CTSB,CTSO,CXCL3,DUSP1,EVI2A,FASLG,FCGR2B,FOS,FUCA1,GABARAP,GALNS,GBA,GCLC,GFPT1,GGA3,GLB1,GM2A,GRK2,GUSB,HCST,HDAC3,HEXA,HEXB,HLA-A,HLA-DQA1,HMGCR,HMOX1,HS2ST1,HSPA1A/HSPA1B,HSPA5,IDUA,IFIT2,IL10,IRF7,JUNB,KDSR,KLRD1,LDLR,LIPA,MANBA,MAP3K1,MAP4K1,MTMR1,NAPSA,NFE2L2,NME7,NPC2,NR1H3,OSBPL3,PER1,PIK3R1,PIM1,PLK3,POLR2A,PPT1,PTEN,PTGS2,PTPN6,RAB14,RPN2,RRAGC,RXRA,SCARB2,SGSH,SLC11A2,SMPD1,SPP1,STK17B,SUMF1,TFEB,TGFB1,TPD52,TPP1,VEGFA,VPS52,WEE1,XYLT1	1286 (17)	
isoquercitrin	 	chemical drug	Inhibited	-2.813	3.02E-03	ACAT2,CYP51A1,FDPS,HMGCR,INSIG1,LDLR,MSMO1,SC5D	437 (3)	
quercetin	 	chemical drug	Inhibited	-2.260	1.00E00	ABCA1,ACAA2,ACOX1,ARRDC4,BAX,EGR1,FBL,FOS,GNAI3,HMOX1,HSF2,HSF4,HSPA5,LDLR,NFE2L2,ODC1,PIN1,POR,PRDX3,PTGS2,ROCK1	 	
bicuculline	 	chemical - endogenous non-mammalian	Inhibited	-3.786	2.89E-02	ATF3,BTG2,DUSP1,EGR1,FBXO33,FOS,FOSB,GADD45B,HSPA8,JUNB,KLF4,MAFF,NR4A1,NR4A2,PTGS2	 	
camptothecin	 	chemical drug	Inhibited	-2.716	2.15E-06	ABCF2,AKAP2,AKT2,ALDOA,APAF1,API5,ARAP2,ARL4A,ASNSD1,ASPM,ATF3,ATM,AURKA,BAMBI,BAX,BFAR,BID,BIRC2,BRCA1,BRCA2,BTG2,C11orf68,CABIN1,CASP1,CASP2,CASP3,CAST,CCNE1,CD48,CDK4,CDKN1A,CHCHD7,CREB1,CRYBG1,CXCL3,DDX39B,DENND5B,EEF1A1,EEF1B2,EI24,ENC1,F2RL1,FASLG,FCGR2B,FKBP3,FLOT2,FNDC3A,FNDC3B,FOS,FOSB,FSCN1,FUT8,GADD45B,GAPVD1,GNAQ,GPHN,GPR107,GSR,H2AFJ,H3F3A/H3F3B,HAUS3,HLA-A,HLA-DQA1,HLA-DQB1,HLA-F,HLA-G,HPS5,HUS1,IFI16,IL16,IL18R1,IL1RAP,IMP3,IMPA2,INPP4A,INSIG1,KIF3C,KLHL21,LDLR,LGALS3,LITAF,LRRC14,LY75,MAFF,MAP2K4,MBNL2,MDM2,MEF2C,MELK,MICAL3,MNAT1,MTMR1,MYO5A,NLRP1,NR4A1,NR4A2,NRP1,NVL,OPTN,PAK2,PERP,PIK3C2B,PIK3CA,PIK3CG,PKN2,PLCL2,PLD2,POU2F1,PPIF,PRKCI,PRKDC,PRUNE1,PSMB9,PTEN,PTGS2,PTP4A2,PYCARD,RBM48,RGS14,RIPK1,RIPK2,RNGTT,RPA3,RRM1,RRM2,RSRP1,SELP,SERPINB9,SIAH1,SIT1,SKIL,SPP1,STAMBP,STK17B,STK3,STK38,STK38L,STX11,SYK,SYNJ2,TAGLN2,TBC1D1,TFRC,TGFB1,TGFBI,TNFAIP3,TNFRSF1B,TOP1,TPP1,TRAF4,TRIB1,TUBA4A,TUBB,UGCG,UTP3,VEGFA,WDFY3,XRCC4,ZFP36L1,ZNF281,ZNF408	1055 (15)	
bezafibrate	 	chemical drug	Inhibited	-4.029	2.73E-03	ABCB4,ABCD1,ABCD3,ACADM,ACOT2,ACOX1,ACSL1,APEX1,CAT,CDK4,COX4I1,CROT,CS,CYB5A,DECR2,ECI1,EHHADH,HADHA,HADHB,HSD17B4,HSPA5,INSIG1,LGALS3,MT-CO1,NPC2,NR1H3,PEX3,PTGS2,TDG,TSPO	 	
clofibrate	 	chemical drug	Inhibited	-2.856	4.70E-02	ABCA1,ABCD3,ACOT2,ACOT8,ACOX1,ANXA7,BAX,BMP7,CASP2,CCND2,CROT,DECR2,ECI1,EHHADH,GSTP1,HADHA,HADHB,HMGCR,Hmgn2 (includes others),HMOX1,LDLR,NAP1L1,NR1H3,PTGS2,RORA,SREBF1	 	
AGN194204	 	chemical drug	Inhibited	-5.865	4.34E-04	ACAA2,ACAT2,ADAM19,ANAPC5,ATF3,AURKA,CAMK2D,CCNA2,CCNG2,CD3E,CDKN1A,CHKA,CRYBG1,CYB5A,CYP51A1,DGKA,DUSP1,ELOVL5,EMP1,EMP3,EZH2,FDPS,FDX1,GATA3,GBP3,GPR65,HIST1H1C,HK2,Hmgb3,Hmgn2 (includes others),IDI1,Ifi47,IL12RB1,IL4R,IRS2,KIF4A,KLF6,LRMP,NPC2,NSMAF,PIM1,PRC1,RGS10,SLC3A2,SMC2,SPP1,STIM1,Tgtp1/Tgtp2,TRAF4	 	
ionomycin	 	chemical reagent	Inhibited	-6.016	2.96E-04	BID,CASP3,CCND2,CCNG2,CD69,CTLA4,DGKA,DNAJC3,DUSP1,DUSP2,EGR1,EIF2AK2,EIF4E,ENPP1,ETS2,FASLG,FOS,FOSB,GATA3,GCH1,GRK3,HSPA4,HSPA5,IFNG,IL10,IL21,IRF4,ITCH,JARID2,LDLR,MAPK8,NFIL3,NR4A1,NR4A2,NRP1,PAX5,PDCD1,PIM1,PTGS2,PTPRJ,RAB10,RAD17,RCAN1,RGS2,SGK1,SLC3A2,SLC6A6,SPP1,STAT3,TBX21,TGFB1,TNFSF10	1049 (16)	
palmitic acid	 	chemical - endogenous mammalian	Inhibited	-2.712	3.30E-02	ACADM,ACLY,ACSL1,ADIPOR2,AKT1,ALDOA,ATF3,ATF6,ATP5J2,BAX,BCL2L11,CASP3,CDKN1A,CS,CTSB,CXCL3,CYBA,CYBB,DEGS1,DGAT2,EEF1A1,F2RL1,FOS,G6PD,GCLC,HK2,HMOX1,HSPA5,IDE,IDH2,IRS2,NCF1,NDUFA5,NFE2L2,NR4A1,NR4A2,NR4A3,PAX6,PRKAA1,PTEN,PTGS2,SLC25A4,SOCS3,SREBF1,TNFSF10	 	
10E,12Z-octadecadienoic acid	 	chemical - endogenous mammalian	Inhibited	-2.161	3.03E-01	ACOX1,ACSS2,ATF3,CASP3,FADS1,LDLR,LRP1,NAMPT,NR4A1,NR4A2,NR4A3,PPP1R15A,PTGS2,SREBF1	 	
mycophenolic acid	 	chemical drug	Inhibited	-3.165	4.37E-02	ADRB2,AKAP12,ATF3,CCND2,CD274,CD55,CDKN1A,CDKN1B,CSGALNACT2,CXCL3,CXCR4,CYBB,DAPP1,DUSP1,DUSP14,HDAC3,HSPA5,LDLR,PDLIM5,PTGS2,TNFAIP3,UGCG,USP53	 	
poly rI:rC-RNA	 	biologic drug	Inhibited	-7.464	6.85E-03	ABCA1,ACSL3,ADAM10,Apol11a (includes others),Apol7e (includes others),ATF3,ATP6V0A2,B2M,BAX,BIRC2,Bst2,CASP7,CCR7,CD274,CD69,CD74,CDC14A,CXCL3,CXCR4,DUSP1,DUSP5,EGR1,EIF2AK2,EIF2S3,ELMOD2,ETNK1,FASLG,FCGR2B,FOS,GADD45B,GCH1,GNPAT,HLA-A,HLA-F,HLA-G,IFI16,IFIT1,IFIT2,IFIT3,IFNG,Iigp1,IL10,IL21,IL4R,IRF2,IRF5,IRF7,ISG15,ISG20,ITGAM,JAK2,JUNB,KLF4,KLF6,LGALS9B,LIF,LY6E,LYZ,MVP,Mx1/Mx2,Naip1 (includes others),NAMPT,NFIL3,NR4A1,NR4A2,NR4A3,NUP153,OAS1,Oas1d (includes others),Oasl2,PARP11,PI4KB,PIGR,PIM1,PPP1R15A,PRKCD,PSMB8,PSMB9,PTGS2,PTPN23,PTPRJ,REL,RGS1,RGS2,RNF114,RNF4,RNPC3,SFXN2,SLAMF1,ST8SIA4,STAM,STAT2,SYK,TANK,TGFB1,THBS1,TIRAP,TLR1,TNFAIP3,TNFSF10,Trim30a/Trim30d,UBQLN1,VEGFA,VPS54,ZBP1,ZC3HAV1,ZFP36	944 (14)	
5-azacytidine	 	chemical drug	Inhibited	-4.646	2.19E-03	ATM,CANX,CDKN1A,CLCF1,CTNNA1,DUSP1,GSK3B,GSTP1,HK2,HSPA5,HSPA8,HSPD1,IFNG,IRF7,IRF8,IRS2,KLF6,LDHB,Ly6a (includes others),MAFF,MECP2,MEF2D,MLH1,N4BP2L2,PCDHA12,PNRC1,PRF1,PTGS2,PTPRG,RASSF1,RFX1,RHOB,RRM2,SHC1,SLC3A2,SLC9A1,SMURF2,SOCS3,SP3,TERC,TERT,TGFBR1,THBS1,TUBB	 	
tunicamycin	 	chemical - endogenous non-mammalian	Inhibited	-5.868	1.41E-07	Abcb1b,ACOX1,ADAM10,ADIPOR2,AKT1,ARF4,ASNS,ATF3,ATF6,BIRC2,CAD,CAMKK2,CANX,CDKN1A,CDKN1B,CXCL3,DDIT4,DGAT1,DGAT2,DNAJC3,EDEM1,EGR1,EIF2A,ERLEC1,ERO1A,GADD45B,HERPUD1,HMOX1,HOOK1,HSD11B1,HSPA5,HSPA9,IFRD1,ILK,KLF4,LMAN1,LMAN2,LONP1,MANF,MTHFR,MVD,NARS,NDRG1,NR1H3,PDRG1,PIGA,PTGS2,RIPK1,SEC22B,SEC24D,SEC61G,SEL1L,SERINC3,SESN2,SLC2A1,SLC35B1,SLC7A11,SRP19,SRPRA,SSR3,STARD5,STX5,SURF4,TJP1,TMED3,VEGFA,WARS,WBP1	907 (14)	
cytarabine	 	chemical drug	Inhibited	-3.879	1.82E-02	ADGRE5,ATG5,BAX,BCL2L11,CD180,CD274,CD55,CD69,CDKN1A,GPR132,HLA-A,MCC,MDM2,PRF1,Pvr,SESN1,SESN2,TLR1,TNFRSF13C,TOP1	 	
lactacystin	 	chemical - protease inhibitor	Inhibited	-3.137	1.11E-03	ACTB,ADRB2,AK2,AKR1B1,ASNS,ATF3,BRCA1,CCND2,CD69,CD9,CDKN1A,CDKN1B,CLIC1,CPOX,CXCR4,CYB5A,DUSP1,EBNA1BP2,EIF4E,FASLG,GATA3,GBA,GCLC,GSTP1,HIST1H2AL,HLA-A,HMOX1,HSPA5,IFRD1,IRS2,LDLR,MAP1B,MDM2,NEDD8,NFE2L2,NFKBIB,NR1H3,NR4A1,OPTN,PAK2,PIN1,PTEN,PTGS2,RABIF,RAD51,RANGAP1,SH3BGRL,SIAH1,SIRT2,SLC3A2,SREBF1,SUB1,SYK,TUBB4A,VHL	1041 (16)	
L-dopa	 	chemical - endogenous mammalian	Inhibited	-2.323	6.94E-05	9130019O22Rik/Zfp747,ABI1,ABI2,ADD3,AGPAT1,AMZ2,AREL1,ARL3,B3GALT5,BAX,C12orf43,C1GALT1C1,CAP1,CASP3,CCNG2,CCS,CEBPG,COL4A1,CRTC1,CRY2,CTSB,CTSZ,CYLD,DCTN3,DENND1C,DGAT2,DLG2,DLGAP1,DUSP1,ECE1,ETS2,FAAH,FCHSD1,FDPS,FEM1B,FNDC9,FOS,FOSB,FRAT2,GABARAPL1,GADD45B,GATAD2B,GLB1,GNE,GPD2,GPS1,GRIN1,GSTM1,HCST,HEXA,HEXB,HLA-A,HSPB6,HVCN1,IER3,IFNAR2,INO80E,INTS13,IPPK,ITCH,ITGB1BP1,JUNB,KDM3A,KIAA0556,Klf16,KLF6,KLF9,KLHL6,LAG3,LASP1,LDAH,LGALS8,MAP3K1,MAT2A,MBNL2,MDGA2,MEF2C,MFAP3,MITF,MOB3A,MPP6,MRPL48,MRPS21,MSMO1,MVB12A,MXD1,MYL4,NAB2,NDUFA5,NDUFS4,NFATC3,NIT1,NPC2,NRARP,NSG2,NT5E,Oasl2,OMA1,PA2G4,PARD6A,PCED1A,PER1,PIK3CG,PIK3R1,PLCG2,PLD4,PLK2,PLPP6,PPP1R13B,PPP1R2,PPP2R2A,PPP2R2D,PPP2R5E,PPP3R1,PPTC7,PRKD3,RBL2,RBM6,RELL1,RGS14,RHOBTB2,RUNDC3A,RUNDC3B,S100A10,SDR39U1,SEC14L1,SELENON,SERPINB6,SHC1,SLC11A2,SLC25A44,SLC29A3,SLC2A1,SLC38A2,SMIM14,SNX9,SPOUT1,SRM,SRPRB,STRN,SUB1,SYN1,TAB2,TAF9B,TAOK1,TAX1BP3,TBP,TCF4,TEX261,Tgoln1,TIRAP,TLE1,TMEM63B,TMEM70,TPD52,TRIOBP,TSEN2,TTC17,UAP1L1,UBE3C,UBL3,UBXN6,VPS13A,ZFHX3,Zfp758,ZNF280D,ZNF281,ZNF717	 	
mimosine	 	chemical drug	Inhibited	-2.219	9.00E-03	CDKN1A,CSNK2B,HLA-DQA1,HLA-DQB1,RXRA,VEGFA	 	
homocysteine	 	chemical - endogenous mammalian	Inhibited	-3.248	1.38E-02	ATF3,ATF6,BAX,CDKN1A,EEF1A1,EEF1D,FDPS,FOSL2,HERPUD1,HMGCR,HMOX1,HSPA5,IDI1,ITGAM,MT-CO3,MTHFR,NDRG1,Pmaip1,PRDX1,PRDX2,PTGS2,SOCS3,SREBF1,VEGFA	 	
D-glucose	 	chemical - endogenous mammalian	Inhibited	-3.415	2.38E-02	ABCA1,Abcb1b,ACAA2,ACADM,ACLY,ACOX1,ACSL1,ACSS1,ACTB,ADAM17,AKR1B1,ALDOA,ARF4,ASNS,ATF3,Atp5e,ATP6AP2,BAX,BCL2L11,C8orf44-SGK3/SGK3,CANX,CAP1,CAT,CCND2,CCNE1,CCPG1,CD55,CDK4,CDK5R1,CDKN1A,CDKN1B,CDT1,CLGN,COL4A1,CREM,CTSB,CXCR4,CYBA,CYBB,DDIT4,DNAJA2,DNAJC3,DUSP1,EGR1,EMC10,FKBP2,FOS,FTO,G6PC3,G6PD,GART,GCH1,GFPT1,GOT1,GPAM,GRK2,HERPUD1,HIST1H4J,HK2,HMGCR,HMOX1,Hspa1b,HSPA5,HSPD1,IFNG,IGF2,ILK,IRS2,ITGA1,JUNB,KDELR2,KLF10,LAMC1,LDLR,LRP1,MID1IP1,MIF,MT-ND1,NAMPT,NCF1,NDUFB9,NFE2L2,NR4A1,NR4A2,NR4A3,ODC1,PAX6,PDK1,PFKFB3,PGK1,PGM1,PGM2,PIGA,PLIN3,PLK3,PTGS2,PTPN6,RGS2,RPS14,RRM2,RTN3,SELENOP,SEPHS2,SGK1,SHC1,SIAH1,SIRT2,SIRT3,SIRT7,SLC25A11,SLC29A1,SLC2A1,SLC35B1,SLC39A6,SLC3A2,SLC7A1,SPHK2,SPP1,SREBF1,SRM,SRPRA,SSR1,SSR3,STX1A,SUCLA2,TFRC,TGFB1,TGIF1,THBS1,TIMM17A,TK1,TUBB4A,Uba52,VEGFA,WARS	 	
methylprednisolone	 	chemical drug	Inhibited	-3.139	6.14E-04	ABCB4,ABI1,ACSL1,ADAM17,AHCY,Akr1c12/Akr1c13,ALAS1,AP2A2,APEX1,ARL4A,ASAH1,ASNS,ATP1B1,ATP5C1,ATPIF1,ATRN,B2M,BDH1,BTG1,C1QBP,Calm1 (includes others),CD38,CD74,CD9,CDKN1A,CREG1,CREM,CROT,CSNK2B,CTSS,CXCL3,CYBB,CYC1,CYCS,DDIT4,DHRS9,DSG1,DUSP1,ECE1,ELOVL5,EMP1,FAAH,FARSA,FBXO30,FCGR2A,FOS,GCH1,GCLC,GLUD1,GNPAT,GOT1,GPR182,GSTP1,HMOX1,HSD17B10,HSD17B12,HSPA1A/HSPA1B,HSPH1,IDH2,IL10,IMP3,INPP4A,INSIG1,IRF7,IRGM,IVD,JAK2,KLF9,KRAS,LDLR,LGALS9B,LIPA,Ly6a (includes others),MAP3K1,MIPEP,MVK,Mx1/Mx2,MYO1G,NAP1L1,NDE1,NDUFC1,NFE2L2,NFYB,NME1,NR1H3,ODC1,OPLAH,PAQR7,PDE3B,PDK1,PDP2,PIGR,PJA2,PLA2G16,PLAA,PLS3,PNRC1,POLG2,POR,PPIL3,PPP2CA,PRKACA,PSAT1,PTPRC,RBL2,RGS2,RNF4,SEPHS2,SERPINB9,SGK1,SLC12A7,SLC25A11,SLC25A30,SLC29A1,SORD,SRI,STAT3,TFRC,TICAM1,TNKS2,TUBA1C,TUBA4A,UBE2B,UBE2G2,UGCG,Wasl,WDR74,ZFP36,ZFP36L1,ZNF180,ZNF394,ZNF519	1235 (16)	
metribolone	 	chemical reagent	Inhibited	-3.806	3.53E-03	ACLY,ACSL3,ADAMTS1,AKAP12,ARL6IP1,ATP1B1,ATR,B2M,BAX,CAMKK2,CCNA2,CDK5R1,CDKN1A,CDKN1B,CXCR4,DAZAP2,DHCR24,EGR1,FDPS,FOS,GFPT1,GTSE1,HK2,HMGCR,Hnrnpa3,HUS1,INPP4B,KAT5,KIAA0141,LDLR,MARS,MPC2,NCAPD3,NDRG1,PFKFB2,PGM3,PHYH,PIAS3,PIGR,PJA2,PRKCD,RDH11,SCAP,SELENOP,SLC30A9,SMS,SORD,SREBF1,THBS1,TM9SF2,TPD52,UAP1,UGDH,VEGFA,WEE1,ZDHHC6	1297 (17)	
mibolerone	 	chemical drug	Inhibited	-2.273	1.39E-04	ACSL1,AHR,ALCAM,AMD1,ARF4,CALU,CD74,CLTA,CLTC,CYP4V2,CYP51A1,DHRS3,EIF2S1,ERP29,FDPS,FOSL2,GOT2,HEXB,HLA-DQA1,HMGCS1,HSD17B11,HSPA5,HYOU1,IDH3G,IRF7,KLF10,LDLR,MAN2A1,MAT2A,NANS,NME1,NME2,PGK1,SCAP,SEC23B,SPARCL1,SRM,TAX1BP1,TGFBI,TK1,TMED3,TUBA1A,UCHL5,USP18	 	
arsenite	 	chemical toxicant	Inhibited	-2.912	2.60E-03	ABCC1,AHR,APEX1,ATR,CDKN1A,CXCL3,DUSP1,EGR1,ESD,FOS,GCLC,GSTP1,HMOX1,HSPA1A/HSPA1B,Hspa1b,HSPA9,IER3,IL10,IL1RAP,MAFF,MAFG,MDM2,NFE2L2,NR4A1,PRKDC,PTGES2,PTGS2,PTPRG,RNH1,SLC38A2,TGFB1,THBS1,VEGFA	1102 (19)	
prostaglandin A2	 	chemical - endogenous non-mammalian	 	-0.441	3.49E-02	CDK4,CDKN1A,ELAVL1,HMOX1,NR4A3,PTGES2	 	
ATP-gamma-S	 	chemical reagent	 	-0.140	4.94E-03	BTG1,CCR5,CCR7,CD55,CD69,CD72,CD8A,CREM,CSF1R,CST7,CXCR4,IL10,IL16,IRF4,MPEG1,NRP1,PRDX2,PTGS2,SLC29A1,THBS1,TLR1,WARS	1020 (14)	
cyclic GMP	 	chemical - endogenous mammalian	 	 	4.90E-02	ANAPC2,CDKN1A,FOS,IL12RB2,MRE11,RAD1	 	
5-N-ethylcarboxamido adenosine	 	chemical reagent	 	-0.883	1.55E-03	BHLHE40,BTG2,CREM,DUSP16,EGR1,EIF2B2,GCLC,HK2,HLA-DQA1,HLA-DQB1,HMOX1,IFIT2,IFIT3,IFNG,IL10,JUNB,KLF6,MNAT1,NFIL3,NR4A1,NR4A2,NR4A3,NRP1,NT5E,ODC1,PLK2,RGS2,SLC30A5,SOCS3,TGFB1,THBS1,UBC,VEGFA	805 (9)	
5-fluorouracil	 	chemical drug	 	1.962	1.98E-04	ALDOA,ATG5,ATP5C1,BAX,BCL2L11,BIRC2,CALU,CANX,CAPNS1,CASP3,CCT3,CCT4,CDKN1A,CSTF1,CYCS,ECHS1,EEF2,EGR1,EIF2S2,FASLG,FBL,FDPS,GARS,GOT2,GPR132,GTF2H2,HADHA,HSPA8,IARS,IDH2,IFNG,KRAS,MAT2A,MDH1,MDM2,MT-CO1,MT-ND4,MT-ND4L,MT-ND6,MVP,NACA,NDUFA4,NDUFS8,NDUFV2,PGK1,PIK3CG,POLR2L,PRC1,PSMA6,PSMB5,PTGS2,RBMX,RHOB,RPL10,RPL11,RPL15,RPL19,RPL21,RPL23,RPL31,RPL35,RPS15A,RPS16,SERPINB6,SMS,SNRPD2,SRM,SRP9,SSR4,SUB1,THBS1,TNFRSF12A,UNG	1089 (18)	
PP2/AG1879 tyrosine kinase inhibitor	 	chemical - kinase inhibitor	 	1.855	1.47E-02	BCL2L11,CD38,CDKN1A,CDKN1B,DUSP1,EPHA3,FOS,GFPT1,HMOX1,IL10,ITGAM,NCF1,PER1,PRDX3,PTGS2,PTPRJ,RHOA,RHOC,RRM2,SPP1,TJP1,VEGFA	 	
risperidone	 	chemical drug	 	-1.980	1.30E-01	FOS,HMGCR,IL10,NR4A1,NR4A2,NR4A3,TBX21	 	
glycine	 	chemical - endogenous mammalian	 	-1.195	4.00E-02	CCNE1,CDKN1A,FOS,IL10,ITGAM,ODC1,VEGFA	 	
L-methionine	 	chemical - endogenous mammalian	 	-1.131	1.94E-02	BRCA1,CDK19,EEF1A1,EEF1D,ETS2,GADD45B,GNA11,HSPA5,IFI16,MAT2A,NUSAP1,PIN1,PRC1,RHOB,SPHK2,SPP1,TGFBRAP1	 	
heparin	 	chemical - endogenous mammalian	 	-1.970	1.00E00	ACADM,ALAS1,CDKN1B,CS,DUSP1,FOS,MT-CO1,NDUFA9,SDHA,SELP,SLC2A1,VEGFA	 	
PS-K	 	chemical drug	 	 	3.61E-02	BIRC2,IFNG	 	
arbutin	 	chemical drug	 	 	3.61E-02	CDKN1A,PTGS2	 	
streptozocin	 	chemical drug	 	-1.914	1.00E00	ADIPOR2,AKT1,ATF3,ATP1B1,ATP1B2,BAX,CAT,COL4A1,CREB1,FOS,HMOX1,HSPD1,IFNG,IL10,IRS2,LGALS3,MAPK8,MEF2D,NCF1,NR3C2,NT5E,OGT,PDK2,PTEN,PTGS2,RPS6KA3,Slc25a1,SLC25A11,SPP1,SREBF1,TGFB1,TGFBR1,UBC,VEGFA	 	
