© 2000-2018 QIAGEN. All rights reserved.

Categories	Diseases or Functions Annotation	p-Value	Predicted Activation State	Activation z-score	Flags	Molecules	# Molecules
Cancer, Gastrointestinal Disease, Organismal Injury and Abnormalities	Digestive system cancer	1.27E-05	 	0.069	 	ABCG2,ABLIM2,ACAD8,ACTG2,ACTN1,ACVR1,ADA,ADAM23,ADAMDEC1,ADCK5,AFF1,AFG1L,AHR,AKAP7,ALAS2,ALG6,ALG8,ALKBH2,AMD1,AMPH,ANGEL1,ANKRD29,ANKRD35,ANKRD39,ANPEP,ANXA1,ARHGAP22,ARHGAP28,ARHGEF9,ARMC3,ARMC6,ATF3,ATF5,ATP6V0D2,AUNIP,AXDND1,B4GALT4,B9D2,BANK1,BBS10,BBS12,BCAR3,BCAT1,BCDIN3D,BCL11A,BCO2,BHLHE40,BHMT2,BLK,BLNK,BNIP3,BORA,BUD23,C14orf93,C1orf123,C1orf146,C3,C6,C7orf31,C8orf44-SGK3/SGK3,C9orf131,C9orf50,CACNA1E,CACNA2D4,CACNB1,CACNB3,CACNB4,CAMKK1,CAPN3,CARNS1,CBR4,CBX4,CBY1,CCDC138,CCDC141,CCDC18,CCDC191,CCDC28A,CCDC73,CCDC88A,CCR3,CD19,CD200,CD274,CD5L,CD69,CD79A,CD8A,CDC42BPB,CDC42BPG,CDH1,CDH17,CDH23,CDK14,CDKL2,CDKL5,CDKN2A,CEACAM1,CECR2,CELA1,CENPH,CENPX,CEP162,CEP290,CEP41,CEP72,CERKL,CFP,CHGB,CHRM3,CHRM4,CHRNE,CHST15,CHST3,CIITA,CKAP4,CLCN2,CLEC12A,CLEC1B,CLK1,CNGA1,CNKSR3,COL10A1,COL11A2,COL20A1,COQ10B,CORO2B,CPNE7,CPNE8,CR2,CREM,CSF2RB,CSF3R,CSRP2,CTLA4,CTU1,CUTC,CXCR4,CXorf57,CYP17A1,CYP2R1,Cyp4f17,DBNDD2,DCAKD,DCLRE1A,DCXR,DENND4A,DGKI,DLG2,DMAP1,DNA2,DNAAF4,DNAH17,DNAJB2,DNAJB7,DNAJC28,DNASE1,DNASE1L3,DOCK7,DOHH,DOK3,DPAGT1,DPCD,DPP7,DPYSL5,DSCAM,DSCC1,DSG2,DSP,DTX4,DUSP1,DUSP12,DUSP2,DUSP22,DUSP5,DYNC2LI1,DYNLT1,DYSF,EBF1,EEF1A1,EFCAB2,EFCAB9,EGR1,EGR3,EHF,ELMO3,ENGASE,ENKD1,ENOX2,ENPP2,ENPP6,EPHA1,ERBB2,ERVFRD-1,ESR1,EVC2,EVPL,EXOC1,EXTL2,F2RL3,F5,FABP3,FAH,FAM114A1,FAM124B,FAM129B,FAM71B,FAM78B,FAM83H,FAM91A1,FANCA,FCGR3A/FCGR3B,FCGRT,FCRLA,FES,FFAR2,FGD2,FHIT,FILIP1,FMN1,FOS,FOSB,FOSL2,FSCN1,GAB2,GALK1,GALNT14,GALNT9,GALR2,GARNL3,GCH1,GDAP1L1,GEN1,GFOD2,GGT1,GK5,GNAO1,GP1BA,GP2,GPM6B,GPR146,GPR22,GPR63,GPR83,GRHL1,GRHPR,GTSE1,GUCY1A3,HBA1/HBA2,HBB,HCN3,HEPACAM2,HEXIM1,HHEX,HLA-A,HLA-DOB,HLA-F,HPGD,HSP90AA1,HSPA5,HSPA8,HTATIP2,ID3,IER5L,IFIT1B,IFNG,IFT57,IFT74,IFT88,IGF1R,IL13RA1,IL15,IL17C,IL18,IL1R2,IL1RL2,IL4R,INPP4B,IPP,IQCG,IRAK3,IRF6,IRS1,IRS2,ISG20,ISPD,ITGA2B,ITGA3,ITGAD,ITK,ITPKB,JAG1,JAKMIP2,JAZF1,JCHAIN,JMY,JUNB,KANK3,KCNB1,KCNC1,KCNJ10,KCNJ13,KCNK6,KDELC1,KDM6B,KIAA0513,KIAA1324,KIAA1841,KIF13A,KIF19,KIF20A,KIF9,KL,KLF12,KLF4,KLF6,KLK3,KMO,KREMEN2,KSR2,KYNU,LAPTM4B,LCAT,LGALS4,LIMA1,LIN9,LIPE,LIPT1,LMBR1,LMLN,LMO1,LRP4,LRRC20,LRRC23,LRRC32,LRRC39,LRRN3,LSM7,LSR,LY96,LYRM2,LYSMD1,MAFF,MAGI1,MAP3K10,MAP3K13,MAP3K15,MAP6,MAP7D2,MAP7D3,MARCO,MARS2,MARVELD2,MASTL,MATN2,MCAM,MCRS1,MCTP1,MED18,MELK,MEN1,MFHAS1,MFSD2A,MFSD6,MICAL3,MIER2,MIPOL1,MIS12,MIS18BP1,MLF1,MLST8,MMACHC,MMP9,MOBP,MPI,MPP2,MREG,MRPL16,MRPS18A,MSL3,MT-CO1,MT-CO2,MT-CYB,MTTP,MTX3,MYBL2,MYCL,MYO18B,MYO1H,MYPOP,NACC2,NADSYN1,NAMPT,NAT1,NCKIPSD,NCMAP,NDST2,NDUFAF6,NEB,NEK4,NEU3,NFIX,NFKBID,NFKBIZ,NHSL2,NLRC4,NMRAL1,NOTCH4,NOXO1,NR1H3,NR4A1,NR4A2,NR4A3,NSUN7,NTHL1,NUCB2,NUDT22,NUDT7,NXPE4,OAS1,OBSCN,ODC1,OR5K1,OVGP1,OXNAD1,PABPC1L,PALLD,PAQR4,PARPBP,PARVA,PAX5,PENK,PER1,PFKFB4,PFKM,PHKA1,PIK3R3,PILRA,PILRB,PLA2G4A,PLA2G7,PLAG1,PLCE1,PLCL1,PLIN4,PLK2,PLK3,PLXNB1,PMEPA1,PNPLA8,PNRC1,POU2AF1,PPARG,PPFIBP2,PPP1R15A,PPP1R16B,PPP1R3B,PRADC1,PRAM1,PRDM9,PRKCG,PRNP,PROZ,PRSS53,PSMG3,PSTK,PSTPIP2,PTGES3L,PTK2,PTPN14,PTPRM,PTRH1,PYCR3,PYGL,QPRT,RAB27B,RAD51AP1,RAP1GAP2,RAP2B,RARB,RASAL1,RASGRP3,RBM44,RDH12,RDH5,REEP2,RFC3,RFTN2,RGS1,RGS11,RMDN1,RP2,RPH3AL,RPL13A,RPL18A,RPP40,RPUSD3,RSPH1,RSPH3,RTL5,RUNDC3A,RYR1,S1PR5,SAMD4A,SBSN,SCD,SCIMP,SCN11A,SCN4A,SEC14L1,SEC31B,SEC61A2,SELENBP1,SEMA3E,SEPT10,SERPINB9,SERPIND1,SFMBT2,SH3TC1,SIGLEC10,SIGLEC9,SKAP2,SKIDA1,SKIL,SLAMF6,SLC11A1,SLC16A2,SLC17A5,SLC17A9,SLC25A13,SLC25A14,SLC25A33,SLC25A35,SLC26A6,SLC27A1,SLC35F6,SLC38A2,SLC3A2,SLC40A1,SLC7A11,SLFN12L,SLPI,SMCR8,SMUG1,SNCA,SNX32,SOCS3,SORBS3,SP9,SPATA24,SPIRE1,SPO11,SPON1,SPTB,STAB2,STARD9,STOM,STON1,STOX1,STRADB,STYK1,SUSD2,SUSD4,SYT1,SYTL1,TBCE,TCEANC,TDO2,TEAD2,TENM1,TEX15,TEX261,TFPI,TGFB1I1,TGIF1,TIFAB,TIMD4,TIMM21,TIMP2,TJP1,TLE1,TLR8,TMC3,TMC4,TMCC2,TMCC3,TMEM19,TMEM231,TMEM255A,TMEM91,TMIE,TMPRSS13,TNF,TNFAIP3,TNFRSF25,TNFRSF8,TOB2,TRADD,TRIAP1,TRIM17,TRIM2,TRIM6-TRIM34,TRIM68,TRMT11,TSC22D2,TSEN15,TSHZ3,TSPAN33,TSPAN4,TSSC4,TTC23,TTC25,TTC30A,TTR,TTYH1,TUBB1,TUBB2B,TUBE1,TVP23A,UBC,UNC13B,USP46,UTP14C,VCAN,VEGFA,VIPR1,VPS37B,WDPCP,WDR34,WDR66,WFIKKN2,WWC1,XK,YDJC,YY2,ZBED5,ZBP1,ZBTB10,ZBTB34,ZDHHC13,ZFAND2A,ZFP14,ZFP36L1,ZFP36L2,ZFR2,ZNF202,ZNF23,ZNF276,ZNF296,ZNF365,ZNF366,ZNF442,ZNF446,ZNF471,ZNF473,ZNF518B,ZNF551,ZNF606,ZNF626,ZNF655,ZNF667,ZNF669,ZNF780A,ZNF8,ZPBP	665
Cellular Development, Cellular Growth and Proliferation, Embryonic Development, Hematological System Development and Function, Hematopoiesis, Lymphoid Tissue Structure and Development, Organ Development, Organismal Development, Tissue Development	Lymphopoiesis	1.36E-12	 	0.077	bias	ADA,AFF1,AHR,ANXA1,BCL11A,BHLHE40,Bhlhe41,BLK,BLNK,C3,CALCB,CD19,Cd24a,CD274,CD40,CD69,CD79A,CD80,CD81,CD8A,CDH17,CDKN2A,CIITA,CMTM7,COL10A1,CR2,CSF3R,CTLA4,CXCR4,DUSP5,EBF1,EGR1,EGR3,EPHA1,ESR1,ETS2,F5,FOS,GADD45B,HHEX,HLA-A,HSP90AA1,ID3,IFNG,Ifnz (includes others),IGF1R,IL15,IL17C,IL18,IL1RL2,IL4R,IRAK3,ITK,ITPKB,JAG1,JUNB,KLF4,Klra7 (includes others),LMO1,LRRC23,MARCH1,MEN1,MZB1,NFIL3,NFKBID,NFKBIZ,NR4A1,NR4A2,PAX5,PENK,PLA2G2D,POU2AF1,PPARG,PRNP,RASGRP3,SEMA3E,SIGLEC10,SLAMF6,SLC3A2,SOCS3,TNF,TNFAIP3,TNFRSF25,TNFRSF8,TNFSF13B,TNFSF4,VEGFA,ZFP36L1,ZFP36L2	89
Energy Production, Lipid Metabolism, Small Molecule Biochemistry	Oxidation of lipid	1.63E-05	 	0.084	bias	C3,CEACAM1,ESR1,FABP3,FITM2,HPGD,IGF1R,IL15,IRS1,IRS2,KL,KSR2,LCAT,LIPE,MTTP,NR4A1,NR4A2,NR4A3,NUCB2,PNPLA8,PPARG,RDH5,SCD,SERPINF1,SLC27A1,SNCA,TNF	27
Cellular Function and Maintenance	Cellular homeostasis	6.67E-11	 	0.123	bias	ABCG2,ADA,AFF1,AHR,ALAS2,ANXA1,BCL11A,BCL2L2,BCO2,BHLHE40,Bhlhe41,BNIP3,C3,CACNA1E,CACNB3,CACNB4,CALCB,CAPN3,CCR3,CCR8,CD19,Cd24a,CD274,CD40,CD69,CD79A,CD80,CD81,CD8A,CDKN2A,CEACAM1,CHRM3,CHRM4,CHRNB1,CHRNE,CHST3,CIITA,CLCN2,CLEC12A,COL10A1,CSF2RB,CTLA4,CXCR4,DCXR,DMPK,EBF1,EGR1,EGR3,EPHA1,ESR1,ETS2,F5,FCGR3A/FCGR3B,FFAR2,FOS,GADD45B,GALR2,GATM,GGT1,GPR15,HAAO,HCN3,HEBP1,HELZ2,HLA-A,HSP90AA1,HSPA5,HSPA8,ID3,IFNG,IGF1R,IL15,IL17C,IL18,IL1RL2,IL4R,INPP4B,IRAK3,IRS1,IRS2,ITGA3,ITK,ITPKB,JAG1,JUNB,KCNB1,KCNJ10,KL,KLF4,Klra7 (includes others),KSR2,LAPTM4B,LARGE1,LILRB3,LIPE,LMO1,LRRC23,MARCH1,MCAM,MEN1,NAMPT,NEU3,NFIL3,NFKBID,NFKBIZ,NLRC4,NR4A1,NR4A2,NUCB2,OAS1,PAX5,PENK,PFKM,PLA2G2D,PLA2G4A,PLCE1,PLK2,PNPLA8,POU2AF1,PPARG,PRKCG,PRNP,PTK2,PYGL,RASGRP3,RGS2,RNF152,RPH3AL,RYR1,S1PR3,SCD,SCN4A,SENP8,SGPP2,Sik1,SKIL,SLAMF6,SLC11A1,SLC17A5,SLC25A14,SLC25A33,SLC27A1,SLC3A2,SLC40A1,SMCR8,SNCA,SOCS3,SRXN1,STOX1,TIMP2,TNF,TNFAIP3,TNFRSF25,TNFRSF8,TNFSF13B,TNFSF4,TNS2,TRIM17,Ubb,VEGFA,VIPR1,VPS37B,XK,ZFP36L1,ZFP36L2,ZFYVE1	166
Cellular Development, Cellular Growth and Proliferation, Hematological System Development and Function, Hematopoiesis, Lymphoid Tissue Structure and Development, Tissue Development	Hematopoiesis of mononuclear leukocytes	1.81E-11	 	0.136	bias	ADA,AFF1,AHR,ANXA1,BCL11A,BHLHE40,Bhlhe41,BLK,BLNK,C3,CALCB,CD19,Cd24a,CD274,CD40,CD69,CD79A,CD80,CD81,CD8A,CDH17,CDKN2A,CIITA,CMTM7,COL10A1,CR2,CSF2RB,CSF3R,CTLA4,CXCR4,DUSP5,EBF1,EGR1,EGR3,EPHA1,ESR1,ETS2,F5,FOS,GADD45B,HHEX,HLA-A,HSP90AA1,ID3,IFNG,Ifnz (includes others),IGF1R,IL15,IL17C,IL18,IL1RL2,IL4R,IRAK3,ITK,ITPKB,JAG1,JUNB,KLF4,Klra7 (includes others),LMO1,LRRC23,MARCH1,MEN1,MZB1,NFIL3,NFKBID,NFKBIZ,NR4A1,NR4A2,PAX5,PENK,PLA2G2D,POU2AF1,PPARG,PRNP,RASGRP3,SEMA3E,SIGLEC10,SLAMF6,SLC3A2,SOCS3,TNF,TNFAIP3,TNFRSF25,TNFRSF8,TNFSF13B,TNFSF4,VEGFA,ZFP36L1,ZFP36L2	90
Cell-To-Cell Signaling and Interaction	Responsiveness of cells	1.98E-04	 	0.152	 	CALCB,CDH1,IFNG,IL15,IL18,KLRG1,TNF	7
Cell-To-Cell Signaling and Interaction, Hematological System Development and Function, Immune Cell Trafficking, Inflammatory Response	Activation of mononuclear leukocytes	1.20E-13	 	0.156	bias	ADA,AHR,ANXA1,BANK1,BHLHE40,BLK,BLNK,C3,CD19,CD200,Cd24a,CD274,CD40,CD69,CD79A,CD80,CD81,CD8A,CEACAM1,CLEC1B,CR2,CSF2RB,CTLA4,DNASE1,DOK3,DUSP1,DUSP22,EBF1,EGR3,ERBB2,FCGR3A/FCGR3B,FOS,GP2,HLA-A,IFNG,IL15,IL18,IRAK3,IRF6,ITGA3,ITGAD,ITK,ITPKB,Klra7 (includes others),LGALS4,LILRB3,LRRC23,LY96,NFIL3,NFKBID,NFKBIZ,NR4A1,NR4A2,NR4A3,PAX5,PLA2G2D,PLXNB1,POU2AF1,PRNP,SERPINB9,SIGLEC10,SLAMF6,SLC11A1,TLR8,TNF,TNFAIP3,TNFSF13B,TNFSF4,ULBP1,VEGFA,VIPR1	71
Endocrine System Disorders, Gastrointestinal Disease, Immunological Disease, Metabolic Disease, Organismal Injury and Abnormalities	Insulin-dependent diabetes mellitus	4.68E-11	 	0.158	 	AIF1,ANXA1,Apol7e (includes others),BANK1,C130026I21Rik (includes others),CCR8,CD19,CD274,CD40,CD80,CDH17,CIITA,CLEC12A,CLEC9A,COL11A2,CR2,CTLA4,CXCR4,DAPL1,FCMR,FCRL1,GBP6,Gm4951,Gm6377,H2-Eb2,HAAO,HBA1/HBA2,HLA-A,HLA-DMB,HLA-DOB,HLA-F,HSPA1A/HSPA1B,IFIT1B,IFNG,IL18,IL1R2,IRAK3,KMO,LILRB3,LIN9,LRRC32,LYRM4,MIPOL1,MZB1,NOTCH4,OAS1,OR12D2,PILRB,PPARG,RGS1,RNASE6,RTP4,SCD,SIGLEC10,SLC3A2,SLC7A11,TNF,Tnfrsf22/Tnfrsf23,TNFSF13B,TNFSF4,ZBP1,ZNF705A	62
Cancer, Gastrointestinal Disease, Organismal Injury and Abnormalities	Gastrointestinal tract cancer	4.38E-05	 	0.173	 	ABLIM2,ACAD8,ACTG2,ACTN1,ACVR1,ADA,ADAM23,ADCK5,AFF1,AHR,AKAP7,ALAS2,ALG6,ALKBH2,AMPH,ANGEL1,ANKRD29,ANKRD35,ANKRD39,ANPEP,ANXA1,ARHGAP22,ARHGAP28,ARMC3,ARMC6,ATF3,ATF5,ATP6V0D2,AUNIP,AXDND1,B9D2,BANK1,BBS12,BCAR3,BCAT1,BCL11A,BCO2,BHLHE40,BHMT2,BLK,BLNK,BNIP3,BORA,C14orf93,C1orf146,C3,C6,C7orf31,C8orf44-SGK3/SGK3,C9orf131,C9orf50,CACNA1E,CACNA2D4,CACNB1,CACNB3,CACNB4,CAMKK1,CAPN3,CARNS1,CBR4,CBX4,CBY1,CCDC138,CCDC141,CCDC18,CCDC191,CCDC28A,CCDC73,CCDC88A,CCR3,CD19,CD274,CD5L,CD69,CD79A,CD8A,CDC42BPB,CDC42BPG,CDH1,CDH17,CDH23,CDKL2,CDKL5,CDKN2A,CEACAM1,CECR2,CENPH,CENPX,CEP162,CEP290,CEP72,CERKL,CFP,CHGB,CHRM3,CHRM4,CHRNE,CHST15,CHST3,CIITA,CKAP4,CLCN2,CLEC12A,CNGA1,CNKSR3,COL10A1,COL11A2,COL20A1,COQ10B,CORO2B,CPNE7,CPNE8,CR2,CREM,CSF2RB,CSF3R,CSRP2,CTLA4,CTU1,CUTC,CXCR4,CXorf57,CYP17A1,CYP2R1,DBNDD2,DCLRE1A,DCXR,DENND4A,DGKI,DLG2,DMAP1,DNA2,DNAAF4,DNAH17,DNAJB2,DNAJB7,DNAJC28,DNASE1,DNASE1L3,DOCK7,DOHH,DOK3,DPAGT1,DPP7,DPYSL5,DSCAM,DSCC1,DSG2,DSP,DTX4,DUSP1,DUSP2,DUSP22,DUSP5,DYNC2LI1,DYSF,EBF1,EEF1A1,EFCAB2,EFCAB9,EGR1,EGR3,EHF,ELMO3,ENGASE,ENOX2,ENPP2,ENPP6,EPHA1,ERBB2,ERVFRD-1,ESR1,EVC2,EVPL,EXOC1,F2RL3,F5,FABP3,FAH,FAM114A1,FAM124B,FAM129B,FAM71B,FAM78B,FAM83H,FAM91A1,FANCA,FCGR3A/FCGR3B,FCGRT,FCRLA,FES,FFAR2,FGD2,FHIT,FILIP1,FMN1,FOS,FOSB,FOSL2,FSCN1,GAB2,GALK1,GALNT14,GALNT9,GALR2,GARNL3,GCH1,GDAP1L1,GEN1,GFOD2,GGT1,GK5,GNAO1,GP1BA,GP2,GPM6B,GPR146,GPR22,GPR63,GPR83,GRHL1,GTSE1,GUCY1A3,HCN3,HEXIM1,HHEX,HLA-A,HLA-DOB,HLA-F,HPGD,HSP90AA1,HSPA8,HTATIP2,IER5L,IFIT1B,IFNG,IFT74,IFT88,IGF1R,IL13RA1,IL15,IL17C,IL18,IL1R2,IL1RL2,IL4R,INPP4B,IPP,IQCG,IRAK3,IRF6,IRS1,IRS2,ISG20,ISPD,ITGA2B,ITGA3,ITGAD,ITPKB,JAG1,JAKMIP2,JAZF1,JCHAIN,JMY,JUNB,KANK3,KCNB1,KCNC1,KCNJ10,KCNJ13,KCNK6,KDELC1,KDM6B,KIAA1324,KIAA1841,KIF13A,KIF19,KIF20A,KL,KLF12,KLF4,KLF6,KLK3,KMO,KREMEN2,KSR2,KYNU,LAPTM4B,LCAT,LGALS4,LIMA1,LIN9,LIPE,LIPT1,LMLN,LRP4,LRRC20,LRRC23,LRRC32,LRRC39,LRRN3,LSM7,LSR,LY96,LYRM2,LYSMD1,MAFF,MAGI1,MAP3K10,MAP3K13,MAP3K15,MAP6,MAP7D2,MAP7D3,MARCO,MARS2,MARVELD2,MASTL,MATN2,MCAM,MCRS1,MCTP1,MED18,MELK,MEN1,MFHAS1,MFSD2A,MFSD6,MICAL3,MIER2,MIPOL1,MIS18BP1,MLST8,MMP9,MPI,MREG,MRPL16,MRPS18A,MSL3,MT-CO1,MT-CO2,MT-CYB,MYBL2,MYCL,MYO18B,MYO1H,MYPOP,NACC2,NADSYN1,NAMPT,NAT1,NCKIPSD,NDST2,NDUFAF6,NEB,NEK4,NEU3,NFIX,NFKBIZ,NHSL2,NLRC4,NMRAL1,NOTCH4,NOXO1,NR4A1,NR4A2,NR4A3,NSUN7,NTHL1,NUCB2,NUDT22,NUDT7,NXPE4,OAS1,OBSCN,ODC1,OR5K1,OVGP1,OXNAD1,PALLD,PARPBP,PARVA,PAX5,PENK,PER1,PFKFB4,PFKM,PHKA1,PIK3R3,PILRA,PLA2G7,PLAG1,PLCE1,PLCL1,PLIN4,PLK2,PLK3,PLXNB1,PMEPA1,PNPLA8,PNRC1,POU2AF1,PPARG,PPFIBP2,PPP1R16B,PPP1R3B,PRADC1,PRAM1,PRDM9,PRKCG,PRNP,PRSS53,PSMG3,PSTK,PSTPIP2,PTGES3L,PTK2,PTPN14,PTPRM,PYCR3,QPRT,RAB27B,RAD51AP1,RAP1GAP2,RAP2B,RARB,RASAL1,RASGRP3,RBM44,RDH12,RDH5,RFC3,RFTN2,RGS1,RGS11,RP2,RPH3AL,RPL13A,RPL18A,RPP40,RSPH3,RTL5,RUNDC3A,RYR1,S1PR5,SAMD4A,SBSN,SCN11A,SCN4A,SEC14L1,SEC31B,SEC61A2,SELENBP1,SEMA3E,SEPT10,SFMBT2,SH3TC1,SIGLEC9,SKAP2,SKIDA1,SLC11A1,SLC16A2,SLC17A5,SLC17A9,SLC25A13,SLC25A14,SLC25A33,SLC25A35,SLC26A6,SLC27A1,SLC35F6,SLC38A2,SLC3A2,SLC7A11,SLFN12L,SLPI,SMCR8,SNCA,SOCS3,SORBS3,SP9,SPATA24,SPIRE1,SPO11,SPON1,SPTB,STAB2,STARD9,STOM,STON1,STOX1,STRADB,STYK1,SUSD2,SUSD4,SYT1,SYTL1,TBCE,TCEANC,TDO2,TEAD2,TENM1,TEX15,TFPI,TGFB1I1,TGIF1,TIMD4,TIMM21,TIMP2,TJP1,TLE1,TLR8,TMC3,TMC4,TMCC3,TMEM19,TMEM231,TMEM255A,TMEM91,TMIE,TMPRSS13,TNF,TNFAIP3,TNFRSF25,TNFRSF8,TRADD,TRIAP1,TRIM17,TRIM2,TRIM6-TRIM34,TRIM68,TSC22D2,TSEN15,TSHZ3,TSPAN33,TSPAN4,TSSC4,TTC23,TTC30A,TTR,TTYH1,TUBB1,TUBB2B,TUBE1,TVP23A,UBC,UNC13B,UTP14C,VCAN,VEGFA,VIPR1,VPS37B,WDPCP,WDR34,WDR66,WFIKKN2,WWC1,XK,YDJC,YY2,ZBP1,ZBTB10,ZBTB34,ZDHHC13,ZFAND2A,ZFP14,ZFP36L1,ZFP36L2,ZFR2,ZNF202,ZNF23,ZNF276,ZNF296,ZNF365,ZNF366,ZNF442,ZNF446,ZNF471,ZNF473,ZNF518B,ZNF551,ZNF606,ZNF626,ZNF667,ZNF780A,ZNF8	586
Cell Death and Survival	Cell death of lung cancer cell lines	2.81E-04	 	0.174	 	CDKN2A,CERS6,DSP,DUSP1,ERBB2,FANCL,FHIT,GADD45B,GTSE1,HSPA5,HTATIP2,ID3,IFNG,IGF1R,IRS1,JAG1,KL,KLF6,NLRC4,NR4A2,PIDD1,PMEPA1,PPARG,RTKN,SERPINF1,SLC7A11,TNF,TNFAIP3,TRIAP1,VEGFA	30
Skeletal and Muscular System Development and Function	Function of smooth muscle	5.96E-05	 	0.176	bias	ADA,CACNB3,CHRM3,CHRM4,CSRP2,GUCY1A3,ITGA3,JUNB,MMP9,NR1H3,NUCB2,RGS2,TGFB1I1,TNF	14
Tissue Development	Growth of epithelial tissue	3.29E-04	 	0.185	 	AHR,ASIP,BCL2L2,C3,C8orf44-SGK3/SGK3,CALCB,CCR3,CDH1,CDKN2A,CEACAM1,CLEC1B,CR2,CSF2RB,CXCR4,DOK3,EGR1,EGR3,ERBB2,ESR1,FAH,FOS,GAB2,HHEX,HSF4,HSPA5,IFNG,IFT57,IFT74,IFT88,IGF1R,IL17C,IL18,IL4R,IRF6,ITGA3,JUNB,KLF4,KLK3,MCAM,MEN1,MMP9,NFKBID,NR1H3,NR4A1,NR4A2,NR4A3,ODC1,PLA2G4A,PLCE1,PPARG,PPP1R16B,PTK2,PTPRM,SERPINF1,SLC7A11,SOCS3,STOX1,TFPI,TGM1,TIMP2,TNF,TNFRSF25,VEGFA,ZFP36L1	64
Cellular Development, Cellular Growth and Proliferation, Hematological System Development and Function, Lymphoid Tissue Structure and Development	Proliferation of lymphocytes	8.12E-12	 	0.194	 	ADA,AHR,AIF1,ANXA1,BANK1,BCL11A,BHLHE40,Bhlhe41,BLNK,C3,CALCB,CD19,Cd24a,CD274,CD40,CD69,CD79A,CD80,CD81,CD8A,CDH1,CDKN2A,CEACAM1,CHST3,CIITA,CR2,CSF2RB,CTLA4,CXCR4,DUSP1,DUSP5,EBF1,EGR1,EGR3,ESR1,ETS2,FCGR3A/FCGR3B,FOS,GAB2,GADD45B,GP2,HLA-DMB,HSPA1A/HSPA1B,HSPA5,HSPA8,ID3,IFNG,Ifnz (includes others),IL13RA1,IL15,IL17C,IL18,IL4R,IRF6,IRS2,ISG20,ITGA2B,ITGAD,ITK,JAG1,JUNB,KLF4,Klra7 (includes others),LILRB3,LMO1,LRRC32,LY96,MMP9,NFIL3,NFKBID,PENK,PLA2G2D,POU2AF1,PPARG,PRNP,RASGRP3,RGS2,SERPINB9,SIGLEC10,SKIL,SLAMF6,SLC3A2,SLPI,SOCS3,TIMD4,TNF,TNFAIP3,TNFSF13B,TNFSF18,TNFSF4,TRADD,ULBP1,VEGFA	93
Cell-To-Cell Signaling and Interaction, Hematological System Development and Function, Immune Cell Trafficking, Inflammatory Response	Activation of natural killer cells	2.49E-04	 	0.212	bias	AHR,CD200,CD40,CD69,CD81,FCGR3A/FCGR3B,HLA-A,IFNG,IL15,IL18,Klra7 (includes others),NFIL3,NFKBIZ,SLAMF6,TNF,ULBP1,VEGFA	17
Infectious Diseases	Infection by Herpesviridae	1.91E-04	 	0.225	 	ADA,ANXA1,C3,CD40,CSF2RB,FCGR3A/FCGR3B,IL15,IL18,ITK,Klra7 (includes others),NECTIN1,NFKBIZ,PRNP,TNF	14
Cellular Compromise, Inflammatory Response	Degranulation of phagocytes	1.67E-04	 	0.228	bias	ANXA1,ATF3,C3,CCR3,CD300LD,CTLA4,DUSP1,EHF,FES,FOS,GAB2,IL4R,ITK,JUNB,NDST2,NR4A3,PLA2G4A,PRAM1,PTPN14,TNF	20
